date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day
2000-05-04,0.9001,0.1994,0.9001,0.9001
2000-05-17,0.7486,0.0609,0.7736,0.7766
2000-05-19,0.7513,0.2366,0.7686,0.7641
2000-05-20,0.8209,0.1736,0.7686,0.7641
2000-05-21,0.7537,0.5615,0.7753,0.7651
2000-05-28,0.777,0.3222,0.777,0.777
2000-06-12,0.7142,0.3464,0.7011,0.6983
2000-06-15,0.6881,0.54,0.7011,0.6983
2000-06-25,0.6502,0.0909,0.6502,0.6502
2000-07-01,0.6026,0.593,0.5924,0.6095
2000-07-03,0.6279,0.4825,0.5924,0.6095
2000-07-04,0.5468,0.0766,0.5924,0.6095
2000-07-09,0.719,0.0792,0.6656,0.6246
2000-07-10,0.6122,0.605,0.6193,0.6129
2000-07-13,0.5267,0.0929,0.5743,0.5901
2000-07-14,0.599,0.3133,0.5634,0.5654
2000-07-15,0.5472,0.2296,0.5634,0.5654
2000-07-16,0.5862,0.0977,0.5634,0.5654
2000-07-17,0.5581,0.6587,0.5726,0.5681
2000-07-26,0.5189,0.6615,0.4925,0.5096
2000-07-29,0.466,0.1411,0.4854,0.4992
2000-07-31,0.4714,0.3021,0.4722,0.4742
2000-08-02,0.4793,0.3967,0.4495,0.4682
2000-08-05,0.3979,0.0766,0.4386,0.4661
2000-08-19,0.3929,0.0857,0.368,0.3503
2000-08-20,0.343,0.4962,0.3687,0.3556
2000-08-23,0.3701,0.209,0.3566,0.351
2000-09-02,0.7347,0.0825,0.6548,0.5951
2000-09-05,0.575,0.5724,0.6548,0.5951
2000-09-09,0.6957,0.1864,0.5465,0.5178
2000-09-11,0.4877,0.0948,0.5465,0.5178
2000-09-12,0.456,0.4905,0.5465,0.5178
2000-09-19,0.7012,0.3788,0.7012,0.7012
2000-10-02,0.8583,0.3192,0.7975,0.7895
2000-10-03,0.7883,0.273,0.7975,0.7895
2000-10-04,0.7921,0.0597,0.7975,0.7895
2000-10-05,0.7512,0.5687,0.7975,0.7895
2000-10-14,0.9115,0.4757,0.84,0.8931
2000-10-15,0.7684,0.0701,0.84,0.8931
2000-10-28,0.9087,0.3121,0.9087,0.9087
2001-05-01,0.8349,0.7152,0.8349,0.8349
2001-05-07,0.8673,0.2282,0.83,0.8197
2001-05-08,0.7926,0.4015,0.83,0.8197
2001-05-22,0.805,0.2599,0.8466,0.8281
2001-05-25,0.8881,0.1,0.8466,0.8281
2001-06-04,0.7575,0.8871,0.7575,0.7575
2001-06-08,0.8194,0.2275,0.7648,0.7395
2001-06-10,0.7569,0.0805,0.7437,0.7182
2001-06-11,0.7181,0.9174,0.7209,0.7119
2001-06-13,0.6804,0.6911,0.6963,0.6985
2001-06-14,0.6298,0.1469,0.6761,0.6959
2001-07-04,0.6058,0.7346,0.5797,0.5941
2001-07-06,0.5887,0.7972,0.5797,0.5941
2001-07-07,0.5445,0.0857,0.5797,0.5941
2001-07-13,0.5896,0.6787,0.5694,0.582
2001-07-15,0.5895,0.369,0.5699,0.5803
2001-07-16,0.529,0.1485,0.5695,0.5796
2001-07-17,0.5714,0.2272,0.5645,0.5715
2001-07-19,0.568,0.0888,0.5578,0.5606
2001-07-22,0.5629,0.6824,0.5344,0.5471
2001-07-23,0.4981,0.1,0.5324,0.5477
2001-07-25,0.5085,0.1997,0.5291,0.5378
2001-07-26,0.5601,0.199,0.521,0.5218
2001-07-27,0.516,0.5413,0.515,0.521
2001-07-29,0.5224,0.9068,0.5166,0.5224
2001-07-30,0.468,0.074,0.5021,0.5175
2001-08-04,0.5383,0.105,0.473,0.4567
2001-08-05,0.4457,0.583,0.473,0.4567
2001-08-06,0.4539,0.1,0.473,0.4567
2001-08-07,0.4541,0.6997,0.4603,0.4511
2001-08-10,0.4096,0.2001,0.4156,0.4204
2001-08-11,0.4313,0.1612,0.4059,0.3968
2001-08-12,0.3807,0.5369,0.4059,0.3968
2001-08-13,0.4021,0.1,0.4059,0.3968
2001-08-29,0.4181,0.0583,0.6442,0.8355
2001-09-01,0.8702,0.7006,0.6585,0.8146
2001-09-02,0.6871,0.1244,0.8078,0.8445
2001-09-05,0.8662,0.0731,0.7506,0.7107
2001-09-06,0.6984,0.6838,0.7823,0.7146
2001-09-10,0.7932,0.5165,0.6869,0.7195
2001-09-11,0.6414,0.2148,0.6869,0.7195
2001-09-12,0.6262,0.228,0.6841,0.6983
2001-09-15,0.6756,0.8969,0.6108,0.6523
2001-09-18,0.5307,0.1231,0.598,0.6454
2001-09-19,0.5878,0.2251,0.5259,0.4971
2001-09-22,0.4593,0.6502,0.5615,0.558
2001-09-24,0.6832,0.4931,0.5528,0.5526
2001-09-25,0.5158,0.1,0.5528,0.5526
2001-10-01,0.9292,0.9213,0.8338,0.9047
2001-10-04,0.7384,0.1356,0.8083,0.8686
2001-10-05,0.7573,0.3426,0.7931,0.8268
2001-10-08,0.8837,0.6286,0.7617,0.792
2001-10-10,0.7518,0.7966,0.7631,0.7997
2001-10-11,0.6539,0.1,0.7631,0.7997
2001-10-15,0.8441,0.472,0.8441,0.8441
2001-10-26,0.989,0.622,0.9314,0.9604
2001-10-27,0.8682,0.1,0.9314,0.9604
2001-10-28,0.9371,0.3678,0.9314,0.9604
2002-05-01,0.8345,0.3557,0.8143,0.8168
2002-05-02,0.794,0.2766,0.8143,0.8168
2002-05-07,0.8201,0.1,0.8201,0.8201
2002-05-13,0.8103,0.9259,0.7486,0.7865
2002-05-14,0.7172,0.0609,0.7486,0.7865
2002-05-15,0.7662,0.499,0.7486,0.7865
2002-05-16,0.7009,0.0893,0.7486,0.7865
2002-05-20,0.778,0.7093,0.778,0.778
2002-05-25,0.808,0.2582,0.7522,0.7384
2002-05-26,0.7472,0.1161,0.7522,0.7384
2002-05-27,0.7014,0.5143,0.7522,0.7384
2002-06-04,0.7467,0.1127,0.7467,0.7467
2002-06-11,0.7041,0.2275,0.7041,0.7041
2002-06-15,0.6359,0.1,0.6576,0.6738
2002-06-16,0.6793,0.6853,0.6576,0.6738
2002-06-22,0.7566,0.1,0.7487,0.7424
2002-06-23,0.7407,0.8417,0.7125,0.7239
2002-06-26,0.6401,0.2076,0.6904,0.7208
2002-07-11,0.6381,0.3883,0.6523,0.6484
2002-07-13,0.6664,0.2235,0.6523,0.6484
2002-07-19,0.5202,0.0953,0.5587,0.57
2002-07-20,0.6118,0.3572,0.5587,0.57
2002-07-21,0.5459,0.3904,0.5587,0.57
2002-07-22,0.5568,0.0607,0.5587,0.57
2002-07-27,0.6454,0.3005,0.5829,0.576
2002-07-28,0.5057,0.264,0.5829,0.576
2002-07-29,0.6304,0.1569,0.5743,0.5619
2002-07-30,0.5499,0.4157,0.5743,0.5619
2002-08-01,0.5402,0.7419,0.5735,0.554
2002-08-12,0.5732,0.4923,0.5372,0.5446
2002-08-13,0.4827,0.2622,0.5372,0.5446
2002-08-14,0.5557,0.1919,0.5372,0.5446
2002-08-24,0.6108,0.5009,0.6108,0.6108
2002-08-29,0.6588,0.2207,0.6551,0.6535
2002-08-31,0.6514,0.5476,0.6551,0.6535
2002-09-14,0.7994,0.2641,0.7994,0.7994
2002-09-20,0.94,0.6541,0.8343,0.8564
2002-09-22,0.827,0.2288,0.7966,0.7942
2002-09-23,0.7358,0.3978,0.7966,0.7942
2002-09-25,0.6837,0.7206,0.7488,0.7234
2002-10-05,0.8459,0.0935,0.8478,0.8819
2002-10-06,0.9085,0.6793,0.8478,0.8819
2002-10-07,0.789,0.1579,0.8478,0.8819
2002-10-11,0.9042,0.6063,0.8483,0.8394
2002-10-13,0.7924,0.8362,0.8483,0.8394
2002-10-18,0.8748,0.5587,0.8731,0.8744
2002-10-19,0.8714,0.0648,0.9232,0.9431
2002-10-22,1.0235,0.5328,0.9475,1.007
2002-10-28,1.059,0.0793,1.059,1.059
2003-05-01,0.7652,0.1,0.7771,0.7875
2003-05-02,0.8041,0.6756,0.7771,0.7875
2003-05-04,0.7619,0.3507,0.7923,0.8072
2003-05-07,0.8381,0.7174,0.8018,0.8116
2003-05-08,0.8565,0.1,0.8016,0.8062
2003-05-10,0.7507,0.1,0.7722,0.7848
2003-05-11,0.7609,0.4948,0.7529,0.7412
2003-05-12,0.7057,0.2022,0.7331,0.7342
2003-05-13,0.7212,0.2241,0.7342,0.7365
2003-05-14,0.7223,0.5572,0.7232,0.7344
2003-05-15,0.738,0.1,0.7169,0.7281
2003-05-16,0.7407,0.9247,0.7192,0.7305
2003-05-17,0.6737,0.0622,0.7187,0.7318
2003-05-21,0.6751,0.3982,0.6764,0.6775
2003-05-23,0.6806,0.4349,0.6643,0.6738
2003-05-24,0.6735,0.1,0.6643,0.6738
2003-05-25,0.6758,0.8124,0.6616,0.6734
2003-05-26,0.6163,0.0896,0.6616,0.6734
2003-06-02,0.7194,0.1,0.7604,0.7908
2003-06-03,0.8014,0.6737,0.7785,0.7982
2003-06-06,0.8147,0.349,0.7911,0.8013
2003-06-07,0.7572,0.1065,0.786,0.8013
2003-06-11,0.6306,0.0974,0.6968,0.7087
2003-06-12,0.7048,0.3816,0.6891,0.6941
2003-06-14,0.7549,0.1964,0.6891,0.6941
2003-06-15,0.6659,0.3502,0.7085,0.7007
2003-06-19,0.7268,0.3847,0.6656,0.6833
2003-06-20,0.6259,0.1119,0.6656,0.6833
2003-06-21,0.644,0.2617,0.6656,0.6833
2003-06-25,0.7498,0.0909,0.7078,0.6792
2003-06-26,0.6658,0.4786,0.7078,0.6792
2003-07-03,0.6267,0.7811,0.5672,0.6078
2003-07-04,0.5256,0.0805,0.5672,0.6078
2003-07-06,0.5492,0.1391,0.5672,0.6078
2003-07-11,0.6444,0.0909,0.6324,0.6246
2003-07-14,0.6204,0.4241,0.6324,0.6246
2003-07-21,0.5927,0.3997,0.5927,0.5927
2003-08-01,0.6039,0.1789,0.5884,0.5811
2003-08-02,0.5728,0.4886,0.5884,0.5811
2003-08-07,0.5782,0.1464,0.5782,0.5782
2003-08-16,0.478,0.2706,0.498,0.4918
2003-08-17,0.5179,0.1425,0.4903,0.4811
2003-08-20,0.4751,0.733,0.462,0.4772
2003-08-21,0.3931,0.0505,0.4796,0.4881
2003-08-24,0.5706,0.1742,0.4685,0.4648
2003-08-25,0.4658,0.3653,0.4746,0.4657
2003-08-27,0.4446,0.7501,0.4781,0.4736
2003-08-28,0.4174,0.0505,0.4592,0.4666
2003-08-29,0.4922,0.5679,0.4482,0.4595
2003-08-31,0.4762,0.4952,0.4483,0.4645
2003-09-01,0.4107,0.2795,0.456,0.4661
2003-09-02,0.4448,0.2053,0.4439,0.4509
2003-09-09,0.8157,0.3368,0.732,0.7587
2003-09-10,0.724,0.3959,0.732,0.7587
2003-09-11,0.6564,0.053,0.732,0.7587
2003-09-19,0.8412,0.4186,0.8356,0.834
2003-09-21,0.83,0.7566,0.7819,0.8147
2003-09-24,0.6745,0.1616,0.7134,0.7473
2003-09-25,0.7148,0.3338,0.6842,0.6822
2003-09-26,0.6556,0.3888,0.6842,0.6822
2003-09-27,0.692,0.0764,0.6842,0.6822
2003-10-01,0.7328,0.1,0.7328,0.7328
2004-05-02,0.8756,0.9145,0.8299,0.8623
2004-05-05,0.7841,0.1553,0.8299,0.8623
2004-05-18,0.887,0.4704,0.887,0.887
2004-05-22,0.8016,0.357,0.766,0.7702
2004-05-23,0.7485,0.4005,0.766,0.7702
2004-05-24,0.748,0.1136,0.766,0.7702
2004-06-05,0.8337,0.6846,0.7714,0.8108
2004-06-06,0.7091,0.1542,0.7714,0.8108
2004-06-12,0.8485,0.8745,0.7745,0.8094
2004-06-13,0.7141,0.1,0.7626,0.7986
2004-06-14,0.7609,0.5082,0.7532,0.7796
2004-06-16,0.7267,0.2232,0.7294,0.7347
2004-06-17,0.716,0.5078,0.7345,0.7363
2004-06-30,0.7672,0.3224,0.8045,0.7872
2004-07-02,0.8804,0.1886,0.7571,0.7333
2004-07-03,0.7659,0.5219,0.7571,0.7333
2004-07-04,0.6998,0.0792,0.7545,0.7267
2004-07-05,0.672,0.8664,0.7545,0.7267
2004-07-11,0.6278,0.0914,0.6157,0.6066
2004-07-14,0.6035,0.6259,0.6157,0.6066
2004-07-20,0.6339,0.0701,0.6515,0.6658
2004-07-21,0.6691,0.6829,0.6515,0.6658
2004-07-28,0.5592,0.6452,0.5557,0.5693
2004-07-29,0.5803,0.1,0.5596,0.5707
2004-07-30,0.5822,0.7986,0.5527,0.5648
2004-07-31,0.501,0.0727,0.5527,0.5648
2004-08-01,0.5753,0.5055,0.5514,0.5669
2004-08-02,0.518,0.2659,0.5441,0.5661
2004-08-09,0.5692,0.1372,0.5692,0.5692
2004-08-15,0.6064,0.6143,0.5553,0.5731
2004-08-16,0.5271,0.1,0.5553,0.5731
2004-08-17,0.5718,0.4639,0.5553,0.5731
2004-08-18,0.516,0.2674,0.5553,0.5731
2004-08-27,0.5094,0.3233,0.5179,0.5131
2004-08-28,0.5264,0.0891,0.5179,0.5131
2004-09-04,0.5967,0.2173,0.5967,0.5967
2004-09-08,0.7488,0.0987,0.7488,0.7488
2004-09-12,0.8902,0.2321,0.8331,0.8091
2004-09-13,0.8288,0.1141,0.8059,0.7733
2004-09-14,0.7802,0.7286,0.8059,0.7733
2004-09-16,0.7245,0.7895,0.7528,0.7479
2004-09-18,0.7665,0.3541,0.6971,0.6987
2004-09-19,0.664,0.2498,0.6971,0.6987
2004-09-21,0.6332,0.5439,0.6879,0.681
2004-09-26,0.5293,0.0956,0.5432,0.5402
2004-09-28,0.5358,0.3598,0.537,0.5281
2004-09-29,0.5644,0.1095,0.537,0.5281
2004-09-30,0.5183,0.6983,0.5395,0.528
2004-10-07,0.836,0.4427,0.836,0.836
2004-10-11,0.9698,0.6921,0.965,0.9663
2004-10-14,0.9602,0.3957,0.965,0.9663
2004-10-23,0.9902,0.5512,0.9333,0.9707
2004-10-25,0.9739,0.8603,0.9112,0.9488
2004-10-26,0.8358,0.1,0.9112,0.9488
2004-10-27,0.9271,0.6883,0.8915,0.9361
2004-10-28,0.8291,0.1524,0.8915,0.9361
2005-05-06,0.8035,0.1,0.8035,0.8035
2005-05-10,0.8127,0.4016,0.8007,0.7937
2005-05-11,0.8193,0.1125,0.8007,0.7937
2005-05-12,0.7702,0.4478,0.8007,0.7937
2005-05-17,0.778,0.2691,0.786,0.7852
2005-05-18,0.7939,0.2226,0.7599,0.7345
2005-05-21,0.7077,0.9303,0.6997,0.708
2005-05-22,0.6289,0.1,0.6762,0.6972
2005-05-23,0.6989,0.5914,0.6762,0.6972
2005-05-24,0.6693,0.1429,0.6762,0.6972
2005-05-29,0.6996,0.0831,0.6996,0.6996
2005-06-08,0.759,0.6722,0.7107,0.7324
2005-06-09,0.6571,0.1619,0.7107,0.7324
2005-06-10,0.7159,0.3465,0.7107,0.7324
2005-06-18,0.7373,0.2742,0.7476,0.7457
2005-06-19,0.7579,0.1902,0.7476,0.7457
2005-06-24,0.829,0.677,0.829,0.829
2005-07-04,0.6077,0.271,0.6077,0.6077
2005-07-08,0.6577,0.7243,0.632,0.6579
2005-07-09,0.5668,0.0883,0.632,0.6579
2005-07-10,0.6714,0.61,0.632,0.6579
2005-07-15,0.5732,0.6312,0.5796,0.575
2005-07-18,0.586,0.1,0.5872,0.5804
2005-07-20,0.5597,0.2167,0.5873,0.5812
2005-07-21,0.6297,0.1707,0.5868,0.5827
2005-07-22,0.5737,0.5519,0.587,0.5825
2005-07-24,0.585,0.723,0.5961,0.586
2005-07-28,0.619,0.2808,0.5897,0.5744
2005-07-29,0.5681,0.2823,0.5897,0.5744
2005-07-30,0.6187,0.112,0.5897,0.5744
2005-07-31,0.5531,0.736,0.5897,0.5744
2005-08-07,0.5249,0.5593,0.5115,0.5421
2005-08-09,0.559,0.8687,0.5115,0.5421
2005-08-10,0.4505,0.0557,0.5274,0.5464
2005-08-13,0.5752,0.2249,0.524,0.5233
2005-08-15,0.5768,0.0706,0.5488,0.5316
2005-08-16,0.4935,0.3818,0.5274,0.5212
2005-08-17,0.5496,0.0844,0.5155,0.5021
2005-08-19,0.442,0.1,0.495,0.4928
2005-08-23,0.5338,0.4951,0.5406,0.5361
2005-08-24,0.5474,0.1,0.5363,0.5331
2005-08-27,0.5278,0.3435,0.5064,0.5141
2005-08-28,0.4339,0.1099,0.5303,0.5264
2005-08-29,0.5166,0.3155,0.5303,0.5264
2005-08-31,0.6427,0.1101,0.5311,0.5256
2005-09-06,0.8451,0.2722,0.8128,0.8018
2005-09-07,0.8298,0.1597,0.8128,0.8018
2005-09-08,0.7634,0.4242,0.8128,0.8018
2005-09-15,0.638,0.4089,0.6379,0.638
2005-09-16,0.6378,0.1079,0.6379,0.638
2005-09-20,0.5483,0.0974,0.5483,0.5483
2005-10-21,1.0333,0.6227,0.9831,1.0043
2005-10-22,0.9483,0.1,0.9831,1.0043
2005-10-23,1.0157,0.5127,0.9831,1.0043
2005-10-24,0.9351,0.2651,0.9831,1.0043
2006-05-01,0.8581,0.8692,0.8581,0.8581
2006-05-15,0.8152,0.7174,0.8352,0.8201
2006-05-16,0.8551,0.1,0.8352,0.8201
2006-05-21,0.8454,0.2173,0.7685,0.7452
2006-05-22,0.7391,0.5604,0.7423,0.7396
2006-05-23,0.7661,0.1,0.7366,0.7314
2006-05-24,0.7235,0.9397,0.7366,0.7314
2006-05-25,0.6375,0.1,0.7148,0.721
2006-05-26,0.708,0.6727,0.7088,0.7154
2006-06-02,0.6893,0.8657,0.6617,0.6777
2006-06-03,0.6271,0.1,0.6678,0.6786
2006-06-04,0.6856,0.5018,0.6678,0.6786
2006-06-05,0.6447,0.2737,0.6678,0.6786
2006-06-06,0.6923,0.1165,0.6624,0.6692
2006-06-19,0.5799,0.1,0.6095,0.6287
2006-06-20,0.639,0.4732,0.6088,0.6209
2006-06-23,0.6074,0.3274,0.6232,0.6261
2006-06-27,0.6602,0.4857,0.5856,0.6119
2006-06-28,0.5215,0.1463,0.5856,0.6119
2006-06-30,0.575,0.2778,0.5856,0.6119
2006-07-13,0.6012,0.4155,0.6012,0.6012
2006-07-17,0.6713,0.0638,0.6713,0.6713
2006-07-21,0.4913,0.0714,0.4913,0.4913
2006-07-26,0.5889,0.0779,0.5889,0.5889
2006-07-30,0.5234,0.1128,0.5167,0.507
2006-07-31,0.5444,0.2112,0.5036,0.4884
2006-08-01,0.4824,0.3976,0.5092,0.4915
2006-08-03,0.4642,0.554,0.4908,0.4898
2006-08-04,0.5316,0.1,0.4841,0.4869
2006-08-05,0.4998,0.8162,0.476,0.4811
2006-08-06,0.4221,0.1,0.476,0.4811
2006-08-07,0.5044,0.3356,0.4783,0.4869
2006-08-08,0.4336,0.2695,0.4702,0.4844
2006-08-11,0.491,0.1,0.4463,0.4373
2006-08-12,0.4416,0.8689,0.4322,0.432
2006-08-14,0.419,0.4419,0.4218,0.4214
2006-08-15,0.3773,0.156,0.4128,0.4189
2006-08-17,0.3803,0.4038,0.4056,0.4009
2006-08-18,0.4458,0.0894,0.4011,0.3886
2006-08-24,0.3197,0.2,0.3797,0.3577
2006-08-25,0.4083,0.1497,0.3729,0.3523
2006-08-26,0.3448,0.4223,0.3729,0.3523
2006-08-27,0.4458,0.0622,0.3724,0.3565
2006-08-28,0.3461,0.7369,0.383,0.3605
2006-08-30,0.3699,0.5029,0.3767,0.3573
2006-09-02,0.345,0.2946,0.3575,0.3607
2006-09-08,0.8781,0.5042,0.777,0.8108
2006-09-09,0.7223,0.2721,0.777,0.8108
2006-09-10,0.7307,0.1228,0.765,0.7808
2006-09-13,0.729,0.5202,0.7299,0.7293
2006-09-17,0.7869,0.2727,0.709,0.697
2006-09-18,0.6878,0.3602,0.709,0.697
2006-09-20,0.6522,0.4721,0.709,0.697
2006-09-28,0.7467,0.1,0.7467,0.7467
2006-10-04,0.8555,0.4007,0.7951,0.7753
2006-10-05,0.8011,0.0991,0.7693,0.7411
2006-10-06,0.7288,0.7474,0.7427,0.7365
2006-10-08,0.6917,0.8608,0.7145,0.7101
2006-10-09,0.6364,0.0974,0.6856,0.7048
2006-10-19,1.0314,0.3436,0.9647,0.959
2006-10-22,0.898,0.4078,0.9409,0.9269
2006-10-23,0.9372,0.0766,0.9108,0.8997
2006-10-24,0.8971,0.8385,0.9074,0.8993
2006-10-27,0.8972,0.276,0.9063,0.9016
2006-10-28,0.9247,0.2171,0.911,0.9093
2007-05-08,0.8142,0.2196,0.8339,0.8086
2007-05-10,0.8929,0.0804,0.8129,0.8026
2007-05-11,0.7947,0.573,0.8091,0.8015
2007-05-12,0.7499,0.1,0.8055,0.7977
2007-05-14,0.7939,0.143,0.7744,0.7866
2007-05-15,0.7959,0.3485,0.7585,0.7538
2007-05-17,0.7374,0.1068,0.7447,0.7331
2007-05-18,0.7153,0.4738,0.718,0.7237
2007-05-19,0.7169,0.0896,0.703,0.7078
2007-05-20,0.7086,0.8627,0.695,0.7008
2007-05-21,0.6338,0.1,0.688,0.6991
2007-05-22,0.7061,0.498,0.6825,0.6949
2007-05-23,0.6472,0.2768,0.6739,0.693
2007-05-26,0.6737,0.0701,0.6605,0.6526
2007-05-30,0.6606,0.1483,0.6606,0.6606
2007-06-06,0.6821,0.0974,0.6821,0.6821
2007-06-12,0.7825,0.5977,0.7395,0.7501
2007-06-14,0.6964,0.3602,0.6848,0.7088
2007-06-16,0.662,0.2371,0.6522,0.6572
2007-06-17,0.5981,0.2579,0.6522,0.6572
2007-06-23,0.6707,0.3873,0.6233,0.6282
2007-06-24,0.5824,0.2562,0.6246,0.6282
2007-06-26,0.6168,0.4142,0.6009,0.6117
2007-06-27,0.6284,0.1,0.5869,0.5964
2007-06-28,0.5949,0.6389,0.5881,0.5993
2007-06-29,0.5122,0.0844,0.5881,0.5993
2007-07-05,0.5974,0.7155,0.6004,0.598
2007-07-06,0.6033,0.0818,0.6004,0.598
2007-07-10,0.549,0.2638,0.5653,0.5548
2007-07-11,0.6046,0.2076,0.5653,0.5548
2007-07-12,0.5091,0.2882,0.5653,0.5548
2007-07-13,0.5983,0.1,0.5653,0.5548
2007-07-18,0.6034,0.2787,0.5522,0.5369
2007-07-19,0.5284,0.3889,0.5527,0.538
2007-07-20,0.5633,0.0637,0.5527,0.538
2007-07-21,0.5138,0.731,0.5334,0.5322
2007-07-22,0.5544,0.1,0.5202,0.5188
2007-07-24,0.4371,0.0961,0.4955,0.5014
2007-07-25,0.5242,0.2592,0.4828,0.4734
2007-07-26,0.4482,0.2649,0.4851,0.4744
2007-07-28,0.45,0.474,0.471,0.4653
2007-07-29,0.5658,0.1,0.4604,0.4568
2007-07-30,0.4596,0.861,0.4635,0.4583
2007-07-31,0.3785,0.1,0.4635,0.4583
2007-08-06,0.3852,0.7281,0.4112,0.4003
2007-08-07,0.437,0.0883,0.4112,0.4003
2007-08-08,0.4114,0.6983,0.3939,0.3916
2007-08-11,0.3419,0.2636,0.3729,0.3785
2007-08-12,0.4032,0.229,0.3636,0.3612
2007-08-13,0.3351,0.4365,0.3636,0.3612
2007-08-15,0.3741,0.5359,0.3708,0.3655
2007-08-20,0.3335,0.3954,0.3335,0.3335
2007-08-31,0.3537,0.8575,0.3537,0.3537
2007-09-04,0.3354,0.2685,0.3062,0.2982
2007-09-05,0.2249,0.3175,0.3077,0.2988
2007-09-06,0.3527,0.078,0.3077,0.2988
2007-09-07,0.3117,0.6686,0.3077,0.2988
2007-09-08,0.3137,0.0505,0.3751,0.4069
2007-09-11,0.6724,0.4909,0.4933,0.6012
2007-09-12,0.4939,0.1903,0.6486,0.6422
2007-09-15,0.7795,0.0974,0.6648,0.6682
2007-09-18,0.721,0.4229,0.6263,0.6174
2007-09-19,0.5501,0.1494,0.588,0.6039
2007-09-20,0.5748,0.2548,0.5586,0.5482
2007-09-21,0.5061,0.3479,0.5586,0.5482
2007-09-23,0.441,0.6114,0.5073,0.4877
2007-09-27,0.7788,0.2685,0.6563,0.6533
2007-09-28,0.6452,0.2103,0.6563,0.6533
2007-09-29,0.6386,0.2068,0.6563,0.6533
2007-09-30,0.5627,0.3201,0.6563,0.6533
2007-10-04,0.5623,0.4318,0.4942,0.5046
2007-10-07,0.4261,0.317,0.4942,0.5046
2007-10-18,0.9405,0.9236,0.8573,0.9026
2007-10-19,0.8014,0.1,0.8633,0.9005
2007-10-20,0.8893,0.6855,0.8533,0.8858
2007-10-21,0.798,0.1502,0.8526,0.8846
2007-10-22,0.8872,0.2954,0.8379,0.8542
2007-10-23,0.8036,0.3864,0.8452,0.8575
2007-10-24,0.8481,0.0842,0.8342,0.8337
2007-10-29,0.9815,0.4723,0.9815,0.9815
2008-05-02,0.8275,0.3983,0.8205,0.8184
2008-05-04,0.8135,0.7411,0.8205,0.8184
2008-05-21,0.7897,0.1,0.7514,0.7809
2008-05-22,0.7924,0.8713,0.7514,0.7809
2008-05-23,0.6722,0.1,0.7514,0.7809
2008-05-31,0.8434,0.6083,0.798,0.8248
2008-06-01,0.7526,0.1562,0.8206,0.83
2008-06-04,0.8657,0.1108,0.8026,0.7922
2008-06-05,0.7895,0.7367,0.8276,0.7995
2008-06-14,0.7346,0.9295,0.6836,0.7186
2008-06-15,0.6211,0.0896,0.6954,0.7217
2008-06-16,0.7257,0.5752,0.6956,0.7174
2008-06-17,0.6528,0.1562,0.6956,0.7174
2008-06-18,0.7429,0.2571,0.6878,0.7067
2008-06-19,0.6963,0.4034,0.7044,0.7122
2008-06-25,0.7007,0.3154,0.6615,0.6655
2008-06-26,0.6349,0.2594,0.6615,0.6655
2008-06-27,0.6489,0.1907,0.6615,0.6655
2008-07-05,0.6373,0.4046,0.6327,0.6358
2008-07-06,0.628,0.0803,0.6356,0.6395
2008-07-09,0.6416,0.8481,0.6133,0.6246
2008-07-12,0.5704,0.2712,0.606,0.6243
2008-07-17,0.4906,0.0557,0.5398,0.5633
2008-07-19,0.5889,0.1579,0.5472,0.5625
2008-07-21,0.5621,0.3693,0.5723,0.5649
2008-07-23,0.5564,0.5188,0.543,0.5602
2008-07-24,0.5818,0.1,0.543,0.5602
2008-07-25,0.5674,0.8235,0.5382,0.5598
2008-07-26,0.4471,0.0596,0.5382,0.5598
2008-08-07,0.5775,0.091,0.5311,0.5149
2008-08-08,0.5073,0.4802,0.5311,0.5149
2008-08-09,0.5295,0.1,0.5311,0.5149
2008-08-10,0.5101,0.7447,0.5311,0.5149
2008-08-23,0.4571,0.0646,0.4208,0.3975
2008-08-24,0.3744,0.5747,0.4208,0.3975
2008-08-25,0.4468,0.0935,0.4161,0.3974
2008-08-26,0.4049,0.6446,0.4054,0.392
2008-08-28,0.3974,0.4733,0.4002,0.3963
2008-08-29,0.3518,0.2525,0.3885,0.3932
2008-08-30,0.4,0.1356,0.3869,0.3917
2008-09-02,0.3984,0.9298,0.3992,0.3986
2008-09-07,0.5453,0.2825,0.5453,0.5453
2008-09-16,0.6214,0.4496,0.6214,0.6214
2008-10-02,0.8604,0.5584,0.8432,0.828
2008-10-03,0.8663,0.0818,0.8432,0.828
2008-10-04,0.8028,0.8433,0.8432,0.828
2008-10-10,0.9754,0.0799,0.9258,0.8855
2008-10-13,0.8762,0.7714,0.8699,0.8721
2008-10-14,0.7582,0.1,0.8172,0.8627
2008-10-18,0.9153,0.5603,0.9144,0.9141
