date,meanNIR,MODIS_weight_final,meanNIR_unweighted_7day,meanNIR_weighted_7day,meanNIR_unweighted_14day,meanNIR_weighted_14day,predicted_SLA_raw_WLS,predicted_SLA_smoothed_WLS
2000-05-21,0.5409,0.3211,0.5357,0.5327,0.5357,0.5327,3208.71,3225.88
2000-05-22,0.5411,0.0924,0.5357,0.5327,0.5357,0.5327,3208.29,3225.88
2000-05-23,0.525,0.4423,0.5357,0.5327,0.5357,0.5327,3242.0,3225.88
2000-06-07,0.5421,0.0785,0.5421,0.5421,0.5528,0.5582,3206.2,3206.2
2000-06-13,0.5634,0.2447,0.5139,0.5411,0.5233,0.5413,3161.61,3208.29
2000-06-16,0.4644,0.071,0.5139,0.5411,0.5262,0.547,3368.85,3208.29
2000-06-22,0.5509,0.4728,0.5509,0.5509,0.5076,0.5396,3187.78,3187.78
2000-07-03,0.4249,0.537,0.3807,0.4116,0.389,0.4108,3451.53,3479.37
2000-07-04,0.3365,0.0949,0.3807,0.4116,0.3794,0.388,3636.57,3479.37
2000-07-09,0.4057,0.1,0.3741,0.3848,0.3597,0.3772,3491.72,3535.47
2000-07-10,0.3505,0.4449,0.3604,0.3791,0.3589,0.3759,3607.27,3547.4
2000-07-11,0.3297,0.0659,0.3601,0.3744,0.3494,0.3574,3650.81,3557.24
2000-07-12,0.4106,0.6518,0.3537,0.3664,0.3489,0.3573,3481.46,3573.99
2000-07-13,0.3057,0.0975,0.346,0.3636,0.3472,0.3523,3701.05,3579.85
2000-07-14,0.3583,0.3958,0.3431,0.3575,0.3472,0.3523,3590.94,3592.62
2000-07-15,0.3151,0.2743,0.3433,0.3574,0.3472,0.3523,3681.37,3592.83
2000-07-16,0.3524,0.1426,0.3318,0.3336,0.3472,0.3523,3603.29,3642.65
2000-07-17,0.3298,0.5686,0.3362,0.3349,0.3414,0.3507,3650.6,3639.92
2000-07-18,0.3315,0.0798,0.3318,0.3295,0.3403,0.3508,3647.04,3651.23
2000-07-19,0.33,0.6363,0.3359,0.3322,0.347,0.3524,3650.18,3645.58
2000-07-25,0.3898,0.0899,0.3183,0.2901,0.3046,0.3017,3525.0,3733.7
2000-07-26,0.2784,0.65,0.2928,0.2856,0.3001,0.3006,3758.19,3743.12
2000-07-28,0.2867,0.4133,0.2941,0.288,0.2941,0.288,3740.82,3738.1
2000-07-29,0.2162,0.0747,0.2702,0.2815,0.2941,0.288,3888.39,3751.7
2000-07-30,0.2995,0.2634,0.2675,0.2842,0.2941,0.288,3714.03,3746.05
2000-08-19,0.2459,0.0747,0.2873,0.3197,0.2792,0.3125,3826.22,3671.74
2000-08-20,0.3287,0.6154,0.2792,0.3125,0.2792,0.3125,3652.9,3686.81
2000-08-23,0.263,0.1015,0.2959,0.3194,0.3342,0.3854,3790.43,3672.37
2000-08-29,0.4992,0.5076,0.4992,0.4992,0.4114,0.4566,3296.0,3296.0
2000-09-02,0.4766,0.102,0.4416,0.4456,0.4608,0.485,3343.31,3408.2
2000-09-04,0.4067,0.0811,0.4416,0.4456,0.4608,0.485,3489.63,3408.2
2000-09-12,0.2602,0.5492,0.2602,0.2602,0.2602,0.2602,3796.29,3796.29
2000-09-19,0.3115,0.3858,0.3115,0.3115,0.2858,0.2814,3688.91,3688.91
2000-10-07,0.3773,0.5342,0.3773,0.3773,0.3773,0.3773,3551.17,3551.17
2000-10-14,0.4789,0.5192,0.3639,0.4552,0.357,0.4038,3338.49,3388.1
2000-10-15,0.2489,0.0596,0.3639,0.4552,0.3503,0.4221,3819.94,3388.1
2000-10-19,0.3231,0.1938,0.3231,0.3231,0.3503,0.4221,3664.62,3664.62
2001-05-07,0.6576,0.198,0.6576,0.6576,0.6576,0.6576,2964.43,2964.43
2001-05-22,0.625,0.1742,0.6706,0.6555,0.6591,0.6413,3032.67,2968.82
2001-05-25,0.7161,0.0875,0.6591,0.6413,0.6591,0.6413,2841.97,2998.55
2001-05-26,0.6363,0.7394,0.6762,0.6447,0.6591,0.6413,3009.02,2991.43
2001-06-02,0.5926,0.4308,0.5626,0.5605,0.5867,0.5931,3100.49,3167.68
2001-06-04,0.5325,0.4927,0.5626,0.5605,0.5702,0.5657,3226.3,3167.68
2001-06-08,0.5854,0.2421,0.5854,0.5854,0.5352,0.556,3115.56,3115.56
2001-06-14,0.4301,0.0899,0.4301,0.4301,0.5077,0.5433,3440.65,3440.65
2001-07-04,0.4126,0.5043,0.4091,0.4083,0.4091,0.4083,3477.28,3486.28
2001-07-06,0.4056,0.7922,0.4091,0.4083,0.434,0.4112,3491.93,3486.28
2001-07-12,0.4839,0.0508,0.4244,0.4052,0.4069,0.4041,3328.03,3492.77
2001-07-13,0.3638,0.4361,0.4072,0.4031,0.4069,0.4042,3579.43,3497.16
2001-07-15,0.4255,0.6902,0.4072,0.4031,0.4072,0.4033,3450.27,3497.16
2001-07-16,0.3555,0.052,0.388,0.4001,0.4009,0.3897,3596.8,3503.44
2001-07-19,0.4072,0.0904,0.3774,0.3722,0.3813,0.3814,3488.58,3561.85
2001-07-22,0.3696,0.9007,0.3555,0.3623,0.359,0.3686,3567.29,3582.57
2001-07-23,0.3017,0.0722,0.3436,0.3593,0.3429,0.3373,3709.42,3588.85
2001-07-24,0.3433,0.3329,0.3368,0.3483,0.3411,0.337,3622.34,3611.87
2001-07-26,0.3599,0.2997,0.3222,0.3181,0.3314,0.3347,3587.59,3675.09
2001-07-27,0.3097,0.4593,0.3273,0.3188,0.3193,0.3303,3692.67,3673.63
2001-07-29,0.2963,0.7263,0.3073,0.3103,0.3236,0.3317,3720.72,3691.42
2001-08-01,0.2631,0.0949,0.307,0.3058,0.309,0.3055,3790.22,3700.84
2001-08-02,0.3111,0.3172,0.3019,0.2965,0.309,0.3055,3689.74,3720.31
2001-08-04,0.3574,0.1784,0.3012,0.2966,0.3011,0.2969,3592.83,3720.1
2001-08-05,0.2758,0.5976,0.3107,0.2993,0.3005,0.2969,3763.64,3714.44
2001-08-06,0.2985,0.1,0.3106,0.295,0.2929,0.2854,3716.12,3723.45
2001-08-10,0.3055,0.1027,0.2815,0.2697,0.2923,0.2819,3701.47,3776.4
2001-08-11,0.2966,0.3031,0.2751,0.2603,0.2856,0.2807,3720.1,3796.08
2001-08-12,0.2351,0.3979,0.2751,0.2603,0.2776,0.2763,3848.83,3796.08
2001-08-13,0.2887,0.1,0.2832,0.2769,0.2779,0.2764,3736.63,3761.33
2001-08-14,0.2498,0.8034,0.2698,0.2741,0.2749,0.2755,3818.06,3767.19
2001-08-16,0.3234,0.61,0.2718,0.2796,0.2682,0.2743,3664.0,3755.68
2001-08-17,0.2253,0.0672,0.2662,0.279,0.2682,0.2743,3869.35,3756.94
2001-08-22,0.2209,0.0533,0.2209,0.2209,0.2765,0.2997,3878.56,3878.56
2001-08-27,0.3661,0.1757,0.2866,0.257,0.3031,0.3222,3574.61,3802.99
2001-08-28,0.2466,0.3195,0.2866,0.257,0.3069,0.3241,3824.76,3802.99
2001-08-29,0.3064,0.0848,0.3245,0.3273,0.3069,0.3241,3699.58,3655.83
2001-08-30,0.2273,0.6758,0.3168,0.325,0.3403,0.333,3865.16,3660.65
2001-09-01,0.4762,0.5937,0.3244,0.3364,0.3412,0.336,3344.15,3636.78
2001-09-02,0.2785,0.0949,0.3607,0.3459,0.3412,0.336,3757.98,3616.9
2001-09-03,0.3335,0.3974,0.3847,0.3909,0.3412,0.336,3642.85,3522.7
2001-09-05,0.4879,0.0992,0.3579,0.3484,0.3613,0.3667,3319.66,3611.67
2001-09-06,0.3472,0.6133,0.3778,0.3538,0.3686,0.369,3614.18,3600.36
2001-09-07,0.3425,0.1,0.4185,0.4159,0.3842,0.4022,3624.02,3470.37
2001-09-10,0.4964,0.5265,0.3837,0.421,0.382,0.3785,3301.86,3459.69
2001-09-11,0.3173,0.2021,0.3975,0.4289,0.3889,0.3854,3676.77,3443.16
2001-09-12,0.3787,0.258,0.3862,0.3954,0.3767,0.3821,3548.24,3513.28
2001-09-15,0.3525,0.77,0.3409,0.3534,0.3562,0.3856,3603.08,3601.2
2001-09-18,0.2915,0.0937,0.3149,0.3412,0.3225,0.3313,3730.77,3626.74
2001-09-21,0.3008,0.0995,0.2955,0.2948,0.3732,0.4488,3711.3,3723.86
2001-09-24,0.2942,0.5121,0.3988,0.5167,0.3773,0.5017,3725.12,3259.37
2001-09-25,0.2099,0.0962,0.4315,0.5344,0.3867,0.4833,3901.58,3222.32
2001-09-26,0.7903,0.6028,0.4315,0.5344,0.4058,0.4931,2686.65,3222.32
2001-10-01,0.4337,0.5212,0.3575,0.3904,0.3926,0.4512,3433.11,3523.75
2001-10-03,0.3735,0.6251,0.3634,0.3883,0.4333,0.4794,3559.12,3528.14
2001-10-04,0.2653,0.0962,0.3634,0.3883,0.3619,0.3827,3785.62,3528.14
2001-10-05,0.3812,0.3587,0.344,0.3639,0.3344,0.3748,3543.01,3579.22
2001-10-08,0.3559,0.336,0.3113,0.35,0.3344,0.3748,3595.97,3608.32
2001-10-11,0.1967,0.0861,0.2763,0.3234,0.2998,0.3407,3929.21,3664.0
2001-10-20,0.2452,0.0848,0.2452,0.2452,0.2452,0.2452,3827.69,3827.69
2001-10-27,0.167,0.0685,0.167,0.167,0.2061,0.2103,3991.38,3991.38
2002-05-01,0.7569,0.3745,0.7569,0.7569,0.7569,0.7569,2756.57,2756.57
2002-05-13,0.7108,0.7702,0.5841,0.6714,0.5841,0.6714,2853.07,2935.54
2002-05-14,0.502,0.1,0.5841,0.6714,0.5841,0.6714,3290.14,2935.54
2002-05-16,0.5395,0.1014,0.5841,0.6714,0.5841,0.6714,3211.64,2935.54
2002-05-27,0.5804,0.3853,0.5804,0.5804,0.5804,0.5804,3126.03,3126.03
2002-06-10,0.5595,0.1318,0.5595,0.5595,0.5438,0.5658,3169.78,3169.78
2002-06-15,0.4947,0.0924,0.536,0.5669,0.5438,0.5658,3305.42,3154.29
2002-06-16,0.5773,0.6422,0.536,0.5669,0.5693,0.5737,3132.52,3154.29
2002-06-22,0.6458,0.0949,0.5483,0.5583,0.5303,0.554,2989.13,3172.29
2002-06-23,0.563,0.7413,0.5274,0.5453,0.5374,0.5572,3162.45,3199.5
2002-06-24,0.4361,0.0962,0.5274,0.5453,0.5274,0.5453,3428.09,3199.5
2002-06-26,0.4647,0.1511,0.4879,0.5356,0.5274,0.5453,3368.22,3219.81
2002-07-08,0.4582,0.0886,0.4627,0.4656,0.4644,0.4663,3381.83,3366.33
2002-07-11,0.4671,0.4269,0.4644,0.4663,0.4644,0.4663,3363.2,3364.87
2002-07-13,0.4679,0.2558,0.4675,0.4674,0.4332,0.448,3361.52,3362.57
2002-07-18,0.4424,0.4294,0.3886,0.4078,0.4149,0.433,3414.9,3487.33
2002-07-19,0.3303,0.1,0.3886,0.4078,0.4045,0.4208,3649.55,3487.33
2002-07-20,0.3872,0.238,0.3886,0.4078,0.4045,0.4208,3530.45,3487.33
2002-07-21,0.3945,0.1646,0.3886,0.4078,0.3886,0.4078,3515.17,3487.33
2002-07-31,0.4587,0.0798,0.6142,0.7197,0.6142,0.7197,3380.78,2834.44
2002-08-03,0.7696,0.4169,0.6142,0.7197,0.5482,0.6481,2729.98,2834.44
2002-08-07,0.4164,0.1534,0.4164,0.4164,0.4572,0.5088,3469.32,3469.32
2002-08-12,0.353,0.3791,0.3275,0.3371,0.3498,0.3507,3602.04,3635.32
2002-08-13,0.2882,0.1426,0.3275,0.3371,0.3498,0.3507,3737.68,3635.32
2002-08-14,0.3414,0.2171,0.3275,0.3371,0.3498,0.3507,3626.32,3635.32
2002-08-25,0.354,0.1,0.354,0.354,0.339,0.331,3599.94,3599.94
2002-08-31,0.3241,0.3353,0.3241,0.3241,0.4011,0.4451,3662.53,3662.53
2002-09-04,0.5281,0.7593,0.4632,0.4927,0.4168,0.4517,3235.51,3309.61
2002-09-06,0.3983,0.2842,0.4632,0.4927,0.4168,0.4517,3507.21,3309.61
2002-09-14,0.3938,0.1314,0.4401,0.3936,0.4401,0.3936,3516.63,3517.05
2002-09-16,0.3441,0.3626,0.4401,0.3936,0.4311,0.4154,3620.67,3517.05
2002-09-17,0.5823,0.0949,0.4401,0.3936,0.4191,0.4015,3122.05,3517.05
2002-09-21,0.3624,0.0975,0.3981,0.4078,0.4035,0.3884,3582.36,3487.33
2002-09-22,0.4728,0.3136,0.3884,0.3876,0.4049,0.388,3351.26,3529.61
2002-09-23,0.359,0.3269,0.3815,0.3861,0.4049,0.388,3589.48,3532.75
2002-09-25,0.3593,0.5248,0.3863,0.388,0.3815,0.3861,3588.85,3528.77
2002-09-26,0.3541,0.0621,0.3575,0.3588,0.3815,0.3861,3599.73,3589.9
2002-10-05,0.233,0.0962,0.2545,0.2545,0.3087,0.3652,3853.23,3808.22
2002-10-07,0.2759,0.0963,0.2545,0.2545,0.3161,0.3506,3763.43,3808.22
2002-10-11,0.4171,0.4108,0.3778,0.3669,0.3402,0.3611,3467.86,3572.94
2002-10-13,0.3384,0.7252,0.3778,0.3669,0.3722,0.3712,3632.6,3572.94
2002-10-17,0.4365,0.1851,0.4148,0.4221,0.4079,0.4014,3427.25,3457.39
2002-10-19,0.3932,0.0924,0.4281,0.4446,0.4056,0.3975,3517.89,3410.29
2002-10-22,0.4545,0.6318,0.4239,0.4467,0.4881,0.4668,3389.57,3405.9
2002-10-28,0.6682,0.1,0.6682,0.6682,0.5614,0.4837,2942.24,2942.24
2003-05-01,0.469,0.1,0.5418,0.5849,0.5417,0.5849,3359.22,3116.61
2003-05-02,0.6145,0.391,0.5418,0.5849,0.5417,0.5849,3054.65,3116.61
2003-05-10,0.5075,0.0937,0.5276,0.5324,0.5258,0.526,3278.63,3226.51
2003-05-13,0.5477,0.1529,0.5258,0.526,0.5258,0.526,3194.48,3239.9
2003-05-14,0.5205,0.3068,0.5319,0.5293,0.5258,0.526,3251.41,3232.99
2003-05-15,0.5275,0.0722,0.5319,0.5293,0.5292,0.5304,3236.76,3232.99
2003-05-21,0.543,0.2154,0.543,0.543,0.5213,0.5083,3204.32,3204.32
2003-05-25,0.4942,0.8943,0.4942,0.4942,0.5186,0.5037,3306.47,3306.47
2003-06-02,0.542,0.0646,0.5807,0.6114,0.5691,0.6033,3206.41,3061.14
2003-06-03,0.6193,0.5668,0.5807,0.6114,0.5691,0.6033,3044.6,3061.14
2003-06-07,0.5459,0.0887,0.5459,0.5459,0.5302,0.5691,3198.25,3198.25
2003-06-11,0.4045,0.0836,0.4682,0.4989,0.4672,0.4683,3494.23,3296.63
2003-06-12,0.5395,0.3662,0.4682,0.4989,0.4672,0.4683,3211.64,3296.63
2003-06-14,0.4605,0.1817,0.4515,0.4626,0.4574,0.4644,3377.01,3372.61
2003-06-16,0.4319,0.0722,0.4378,0.4316,0.4427,0.4587,3436.88,3437.51
2003-06-17,0.4211,0.4994,0.428,0.4286,0.4484,0.4613,3459.49,3443.79
2003-06-20,0.3985,0.0773,0.4341,0.4317,0.4493,0.4363,3506.79,3437.3
2003-06-23,0.4826,0.1538,0.4578,0.4404,0.4523,0.4433,3330.75,3419.09
2003-06-25,0.5311,0.0949,0.4786,0.4563,0.4626,0.4527,3229.23,3385.8
2003-06-26,0.4191,0.5585,0.4786,0.4563,0.4626,0.4527,3463.67,3385.8
2003-06-28,0.4816,0.3786,0.4773,0.4523,0.4324,0.4324,3332.84,3394.18
2003-07-03,0.394,0.4822,0.3512,0.3773,0.4064,0.4177,3516.21,3551.17
2003-07-04,0.2861,0.0672,0.3844,0.3992,0.416,0.4334,3742.08,3505.33
2003-07-05,0.3736,0.5228,0.3844,0.3992,0.419,0.4336,3558.91,3505.33
2003-07-07,0.4839,0.2767,0.4051,0.4339,0.4071,0.4192,3328.03,3432.69
2003-07-10,0.4768,0.6455,0.449,0.4475,0.4046,0.4152,3342.89,3404.22
2003-07-11,0.4372,0.1,0.4248,0.428,0.4061,0.4192,3425.78,3445.04
2003-07-12,0.3981,0.5654,0.4248,0.428,0.4261,0.4228,3507.63,3445.04
2003-07-14,0.3871,0.3799,0.4075,0.3978,0.4366,0.4358,3530.66,3508.26
2003-07-25,0.4707,0.0877,0.4707,0.4707,0.4707,0.4707,3355.66,3355.66
2003-08-01,0.4018,0.2145,0.4011,0.4014,0.4009,0.3998,3499.88,3500.72
2003-08-03,0.4004,0.0937,0.4011,0.4014,0.3776,0.3845,3502.82,3500.72
2003-08-07,0.3306,0.0967,0.3837,0.3913,0.3784,0.3528,3648.93,3521.86
2003-08-10,0.4367,0.1295,0.3632,0.3379,0.3427,0.3397,3426.83,3633.64
2003-08-13,0.3223,0.7779,0.3336,0.3366,0.3276,0.3324,3666.3,3636.37
2003-08-14,0.2608,0.071,0.3052,0.3242,0.3224,0.3222,3795.03,3662.32
2003-08-15,0.386,0.398,0.3052,0.3242,0.3096,0.3193,3532.96,3662.32
2003-08-16,0.2621,0.2158,0.3052,0.3242,0.3096,0.3193,3792.31,3662.32
2003-08-17,0.2949,0.176,0.298,0.3109,0.3096,0.3193,3723.65,3690.16
2003-08-20,0.2861,0.5229,0.2698,0.2832,0.3001,0.315,3742.08,3748.15
2003-08-21,0.2283,0.0646,0.2572,0.2797,0.2954,0.3057,3863.07,3755.47
2003-08-25,0.3192,0.3409,0.3166,0.3055,0.2968,0.2965,3672.79,3701.47
2003-08-26,0.3409,0.1572,0.3166,0.3055,0.2875,0.289,3627.36,3701.47
2003-08-27,0.2805,0.4906,0.3166,0.3055,0.2883,0.2896,3753.8,3701.47
2003-08-28,0.3259,0.1,0.3166,0.3055,0.2886,0.2907,3658.76,3701.47
2003-09-01,0.2314,0.2173,0.2626,0.2663,0.2986,0.2933,3856.58,3783.52
2003-09-02,0.2938,0.2755,0.2626,0.2663,0.2945,0.2862,3725.96,3783.52
2003-09-09,0.4121,0.2936,0.3665,0.3732,0.3607,0.3735,3478.32,3559.75
2003-09-10,0.3296,0.2317,0.3665,0.3732,0.3774,0.3916,3651.02,3559.75
2003-09-11,0.3578,0.0861,0.3774,0.3916,0.3774,0.3916,3591.99,3521.24
2003-09-14,0.4101,0.6062,0.384,0.4036,0.3774,0.3916,3482.51,3496.12
2003-09-21,0.462,0.4482,0.3841,0.438,0.3825,0.4079,3373.87,3424.11
2003-09-24,0.3061,0.0814,0.3756,0.4064,0.3756,0.4064,3700.21,3490.26
2003-09-26,0.3283,0.2143,0.3468,0.3516,0.3516,0.3956,3653.74,3604.97
2003-09-27,0.4061,0.1598,0.3468,0.3516,0.3516,0.3956,3490.88,3604.97
2003-10-01,0.2555,0.0697,0.2555,0.2555,0.3148,0.3096,3806.13,3806.13
2003-10-05,0.2994,0.3232,0.2965,0.2953,0.2828,0.2929,3714.23,3722.82
2003-10-07,0.2935,0.7504,0.2965,0.2953,0.2828,0.2929,3726.59,3722.82
2003-10-14,0.3332,0.4265,0.3515,0.3381,0.3322,0.3112,3643.48,3633.23
2003-10-15,0.3698,0.0659,0.3515,0.3381,0.3515,0.3381,3566.87,3633.23
2003-10-25,0.5329,0.7232,0.5329,0.5329,0.5551,0.536,3225.46,3225.46
2003-10-31,0.5773,0.0541,0.5773,0.5773,0.5551,0.536,3132.52,3132.52
2004-05-02,0.6883,0.619,0.6227,0.6729,0.6227,0.6729,2900.17,2932.4
2004-05-05,0.5571,0.0826,0.6227,0.6729,0.6227,0.6729,3174.8,2932.4
2004-05-20,0.7451,0.4265,0.6628,0.6777,0.6628,0.6777,2781.27,2922.35
2004-05-22,0.6689,0.286,0.6628,0.6777,0.6628,0.6777,2940.78,2922.35
2004-05-23,0.5745,0.2542,0.6628,0.6777,0.6628,0.6777,3138.38,2922.35
2004-06-05,0.6374,0.7796,0.5613,0.6211,0.5613,0.6211,3006.71,3040.83
2004-06-06,0.4852,0.0932,0.5613,0.6211,0.5613,0.6211,3325.31,3040.83
2004-06-13,0.4456,0.1,0.4456,0.4456,0.4793,0.4783,3408.2,3408.2
2004-06-18,0.507,0.0912,0.507,0.507,0.4763,0.4749,3279.67,3279.67
2004-06-30,0.5828,0.5406,0.5914,0.5762,0.5707,0.5712,3121.0,3134.82
2004-07-02,0.6677,0.2328,0.5707,0.5712,0.5425,0.5332,2943.29,3145.29
2004-07-03,0.5238,0.4753,0.5707,0.5712,0.5425,0.5332,3244.51,3145.29
2004-07-04,0.5085,0.1,0.5324,0.5126,0.5425,0.5332,3276.53,3267.95
2004-07-07,0.4296,0.4938,0.469,0.4429,0.5231,0.5118,3441.69,3413.85
2004-07-12,0.4264,0.4625,0.427,0.4271,0.4279,0.4279,3448.39,3446.93
2004-07-14,0.4276,0.644,0.427,0.4271,0.4279,0.4279,3445.88,3446.93
2004-07-27,0.4254,0.1,0.4105,0.3875,0.389,0.3828,3450.48,3529.82
2004-07-28,0.3717,0.5174,0.3912,0.3846,0.389,0.3828,3562.89,3535.89
2004-07-29,0.4568,0.0571,0.389,0.3828,0.389,0.3828,3384.76,3539.66
2004-07-30,0.3881,0.7307,0.389,0.3828,0.3972,0.3856,3528.56,3539.66
2004-07-31,0.3139,0.0583,0.3817,0.3806,0.3972,0.3856,3683.88,3544.26
2004-08-01,0.3779,0.5221,0.3842,0.3839,0.3972,0.3856,3549.91,3537.35
2004-08-05,0.4463,0.0912,0.4463,0.4463,0.3964,0.389,3406.73,3406.73
2004-08-10,0.3956,0.2629,0.3956,0.3956,0.3709,0.3722,3512.86,3512.86
2004-08-14,0.4194,0.1,0.3375,0.357,0.3355,0.3523,3463.04,3593.66
2004-08-15,0.3575,0.6927,0.3205,0.3413,0.3355,0.3523,3592.62,3626.53
2004-08-16,0.2355,0.0545,0.3205,0.3413,0.3355,0.3523,3847.99,3626.53
2004-08-18,0.2697,0.1855,0.2876,0.3329,0.3064,0.3347,3776.4,3644.11
2004-08-23,0.2499,0.0798,0.3035,0.3303,0.2875,0.2995,3817.85,3649.55
2004-08-26,0.3571,0.2396,0.305,0.311,0.305,0.311,3593.45,3689.95
2004-08-27,0.2764,0.301,0.3233,0.3179,0.305,0.311,3762.38,3675.51
2004-08-28,0.3365,0.1658,0.3233,0.3179,0.305,0.311,3636.57,3675.51
2004-09-08,0.4038,0.1,0.4038,0.4038,0.42,0.4196,3495.7,3495.7
2004-09-12,0.4479,0.2108,0.4281,0.4223,0.42,0.4196,3403.39,3456.97
2004-09-14,0.4083,0.387,0.4281,0.4223,0.4064,0.4092,3486.28,3456.97
2004-09-19,0.3572,0.1593,0.3639,0.3569,0.3474,0.3475,3593.24,3593.87
2004-09-20,0.415,0.1703,0.3639,0.3569,0.321,0.3315,3472.25,3593.87
2004-09-21,0.336,0.4512,0.3287,0.3388,0.321,0.3315,3637.62,3631.76
2004-09-22,0.3475,0.052,0.3206,0.3171,0.3014,0.3022,3613.55,3677.18
2004-09-24,0.188,0.1,0.2775,0.2925,0.2967,0.2961,3947.42,3728.68
2004-09-25,0.2796,0.5384,0.2606,0.2628,0.2941,0.2952,3755.68,3790.85
2004-09-26,0.2364,0.0899,0.2495,0.2615,0.2941,0.2952,3846.11,3793.57
2004-09-28,0.2514,0.3162,0.2652,0.2674,0.2736,0.2806,3814.71,3781.22
2004-09-29,0.2922,0.0995,0.2623,0.2604,0.2734,0.2698,3729.31,3795.87
2004-09-30,0.2641,0.3459,0.2688,0.2629,0.2641,0.2674,3788.13,3790.64
2004-10-01,0.2674,0.076,0.2688,0.2629,0.2641,0.2674,3781.22,3790.64
2004-10-05,0.3338,0.1178,0.349,0.3448,0.2955,0.2778,3642.23,3619.2
2004-10-08,0.3642,0.0672,0.349,0.3448,0.3355,0.3464,3578.59,3619.2
2004-10-14,0.3765,0.2097,0.3765,0.3765,0.3704,0.3735,3552.84,3552.84
2004-10-23,0.3116,0.2853,0.2504,0.2857,0.2503,0.2857,3688.7,3742.91
2004-10-26,0.1891,0.0764,0.2504,0.2857,0.2503,0.2857,3945.12,3742.91
2005-05-06,0.5546,0.1,0.5546,0.5546,0.6348,0.649,3180.03,3180.03
2005-05-10,0.6621,0.3297,0.6749,0.6694,0.6348,0.649,2955.01,2939.73
2005-05-11,0.6877,0.1321,0.6749,0.6694,0.6348,0.649,2901.42,2939.73
2005-05-18,0.6554,0.1486,0.6078,0.5771,0.5601,0.5705,2969.03,3132.94
2005-05-21,0.5601,0.6839,0.5283,0.555,0.5282,0.555,3168.52,3179.2
2005-05-22,0.4272,0.1,0.4859,0.5374,0.5282,0.555,3446.72,3216.04
2005-05-24,0.4703,0.0665,0.4859,0.5374,0.5282,0.555,3356.5,3216.04
2005-06-08,0.5975,0.5439,0.5206,0.5457,0.5206,0.5457,3090.23,3198.66
2005-06-09,0.4812,0.1077,0.5206,0.5457,0.5206,0.5457,3333.68,3198.66
2005-06-11,0.4831,0.3389,0.5206,0.5457,0.5434,0.5644,3329.7,3198.66
2005-06-17,0.612,0.3889,0.5545,0.5742,0.5366,0.5448,3059.88,3139.01
2005-06-18,0.5062,0.1375,0.5545,0.5742,0.5332,0.5374,3281.35,3139.01
2005-06-19,0.5452,0.1853,0.5545,0.5742,0.5458,0.5533,3199.71,3139.01
2005-06-24,0.5196,0.4403,0.5196,0.5196,0.5458,0.5533,3253.3,3253.3
2005-07-01,0.4778,0.7244,0.4599,0.4703,0.4775,0.4856,3340.8,3356.5
2005-07-04,0.442,0.1912,0.4634,0.4703,0.4501,0.4491,3415.74,3356.5
2005-07-07,0.4705,0.0672,0.4409,0.4229,0.4501,0.4491,3356.08,3455.72
2005-07-08,0.4102,0.537,0.4404,0.4169,0.4501,0.4491,3482.3,3468.28
2005-07-16,0.4149,0.1,0.4014,0.4028,0.3928,0.381,3472.46,3497.79
2005-07-18,0.3878,0.0811,0.4041,0.4066,0.3937,0.3796,3529.19,3489.84
2005-07-20,0.4033,0.1162,0.3937,0.3806,0.3937,0.3796,3496.75,3544.26
2005-07-21,0.4104,0.2859,0.3902,0.3775,0.3937,0.3796,3481.88,3550.75
2005-07-22,0.3476,0.4463,0.3907,0.3769,0.3926,0.3805,3613.34,3552.01
2005-07-23,0.4193,0.076,0.3907,0.3769,0.3926,0.3805,3463.25,3552.01
2005-07-24,0.3727,0.6511,0.3875,0.3748,0.3918,0.381,3560.8,3556.4
2005-07-28,0.3849,0.3636,0.3738,0.3589,0.3816,0.368,3535.26,3589.69
2005-07-30,0.4086,0.1605,0.3738,0.3589,0.3827,0.3664,3485.65,3589.69
2005-07-31,0.3278,0.562,0.3738,0.3589,0.3772,0.368,3654.79,3589.69
2005-08-06,0.3919,0.2859,0.3941,0.3516,0.3854,0.3498,3520.61,3604.97
2005-08-07,0.3268,0.4763,0.3941,0.3516,0.3866,0.3543,3656.88,3604.97
2005-08-08,0.5272,0.0874,0.3941,0.3516,0.3739,0.3528,3237.39,3604.97
2005-08-09,0.3303,0.704,0.3941,0.3516,0.3693,0.352,3649.55,3604.97
2005-08-13,0.4155,0.309,0.3224,0.3253,0.3421,0.3379,3471.21,3660.02
2005-08-14,0.2515,0.1726,0.3266,0.3269,0.3371,0.3329,3814.5,3656.67
2005-08-15,0.3416,0.1644,0.3287,0.3311,0.3383,0.334,3625.9,3647.88
2005-08-16,0.2809,0.4002,0.3124,0.3261,0.3147,0.3273,3752.96,3658.34
2005-08-17,0.3436,0.1,0.2953,0.3076,0.3128,0.3243,3621.71,3697.07
2005-08-18,0.3393,0.5789,0.304,0.3149,0.3146,0.3244,3630.71,3681.79
2005-08-19,0.2146,0.0773,0.2946,0.3111,0.3095,0.3135,3891.74,3689.74
2005-08-23,0.3157,0.387,0.3027,0.2907,0.2981,0.3017,3680.11,3732.45
2005-08-24,0.3283,0.1,0.3027,0.2907,0.301,0.3065,3653.74,3732.45
2005-08-25,0.2642,0.5056,0.3027,0.2907,0.3177,0.3118,3787.92,3732.45
2005-08-31,0.4442,0.0949,0.4442,0.4442,0.3937,0.3512,3411.13,3411.13
